mbid,total_listen_count,total_user_count
90add391-d8d9-46da-a5ec-4e92a52209ae,268,99
4a3c8e69-f0a1-42ca-9058-8f23eb9d7042,50,26
c3b395a5-b654-422f-8953-fbfdad6d9ce9,34,23
16af2ad0-4c42-482f-b369-51cdc546e59d,165,74
b3a433c9-9cd3-400a-874a-a5a8641c18ea,216,97
65b7256f-b063-49e9-acec-3d4340ce7292,24047,2388
a743701a-c932-4ea1-8f46-22dd302473c1,129,36
b653ae7f-8b92-4ea2-a133-63fcd355ca50,1112,141
f3d568df-eae7-4d8a-a430-dd4609f4f3df,403,108
0b958a4b-6ed1-447b-be3f-fb91270c469f,173,45
5a6e1d23-f7ee-4d79-a1a7-bf672c185f5f,757,140
65f9fb5c-7f44-4aae-b79d-170909baa40f,376,100
47184c8b-f2a1-4781-adc4-0e425e63ee24,1707,484
15def4c4-2d7c-4582-9e79-1488cf63875f,6085,730
5bab210d-6498-4b77-93aa-ac07cdd5be6f,8462,1372
f4c0b8c6-3034-4098-b3bf-55c562f0f63e,1939,401
80b8463a-2dc4-4410-bd3b-638b67e2734b,2078,414
6be3fc4b-c1fd-479a-8895-0a1c768649fc,5616,1357
383f8e1e-1017-426c-abd8-6cbf5d3ba4fb,12,4
1a9974ef-512a-42e9-ba2d-ef1f2a1f0f52,3776,354
379a0332-bc93-4a79-b97e-20c44584b13c,2472,208
8078e967-8656-463e-ac74-fcdec48d5290,17214,1047
e619cd9d-ee35-4e37-8ee1-51b992ab95d7,49914,4546
ee861781-b832-45cb-9654-9b8f98f1f7f1,7203,2182
57b2e634-aadc-47a7-b4e8-d8976020da98,1819,402
15400860-b99d-4312-8579-bafc6874dcac,1445,244
6f5d31e0-ae48-4682-a45b-7f1f0f28e91f,4787,708
407dc1f7-b189-4d0b-aa2e-48f4517f5702,5205,746
96f3ab03-c6c4-4dbc-9f05-2cb7c2e17596,4183,905
2a00d642-a7ed-4e8c-98c0-d58e9500d8aa,85,33
4f9b2c21-4baf-4200-8988-2f259c572a1f,10599,2361
04f1de29-2fe1-4d37-a3c7-451bba948944,169967,21455
42abdd93-709c-4ff6-98b3-90e2cf2bd058,1090163,58495
0a1efbb9-24ef-4dd0-b578-21aea527893f,358,121
4ef66885-41c3-4e50-944a-677e742b6611,16290,4063
07777219-f042-465e-b211-bb881125e797,90,36
dcbea9b4-3ea9-4020-9ee9-650b45f5993f,3924,1240
31b3c6ca-7710-418d-89ca-9e701ce1232b,2,1
1bfee1d4-bc72-498f-bec2-db513145e689,522,259
f7470b92-f085-4e86-a913-cabb76c93480,14169,3344
e4d63db0-d61d-4089-8016-20fc8813d670,3759,496
3b578443-29b2-4a1d-84b3-294231444c7d,473,198
9f92d4c3-c837-4716-a620-85335184559f,1086,389
302ffa9f-ced8-468e-91cf-c43a080fb7da,626,314
2b32a8cc-b62a-462a-af86-d9f4e5104a92,485,281
1e31d889-7eee-49d3-ba8e-b592e0d3a3c3,118,77
83560ce3-9bf1-4eaa-bf67-24c1f66faba2,591,46
c62c9734-3cbe-4864-b321-6c3493743fbe,1879,375
385af599-43a9-47fd-96cc-92de8b13f59f,651242,32846
65f8bf03-e8e9-4a68-a4f9-12fb2d609476,3800,719
d06c6a24-b4ad-4a58-98fc-ad6115f807dd,51346,6010
b4df319f-15de-4dcf-94e1-158d9962b3b3,1,1
22e95152-6741-4dfb-b519-6989d48e6d4b,545,223
e2946cd2-3031-4025-a14a-7b10101e7da4,1698,590
20470d62-ee71-420e-849f-638fcd5eb672,41164,5623
1bc70b61-95f7-47de-9323-7f85b2022379,620,289
62943cbc-d87a-4a4a-b846-39544d25a967,4771,1741
bbcca32b-fe38-4b7c-b384-f4bb3176f0ab,730,249
3c563213-cd0a-4202-ab9b-78d28ea8d3e1,13891,3508
bc78821c-e330-4d7e-b74f-af5292f22d7a,12491,2907
db1046c6-3e91-428e-8629-fe3a48b11cd1,12498,3102
942d9abc-2f3b-4aa0-a097-587392706c71,306041,31813
cbafa2ac-f294-4bc4-b2cf-8734682e3601,7849,2714
8c310cc7-a308-4058-a2f9-f6891907f717,1741,594
fefe3934-d28a-40da-8cbe-e8f0498eaccb,41327,6955
3609db81-90ca-4152-b31d-ca9740ba4c22,1098,293
3e3c4180-2ab8-4179-aacd-f881ea1fddfd,567,242
fc5e6f97-4469-4db5-b220-9f8d5740e014,28,15
69c38dcb-5b78-4af4-af83-32a29c3fd9f2,463,246
9422a972-a5f0-4beb-801b-f20b8d2ddb06,2471,554
5421dda1-729d-4c6f-8d5a-cddd260d308e,1222,169
f0139694-3f4d-4217-9ff2-0a161528bed6,956,335
dfa96395-8f6e-4fc9-8a10-18adb887e651,929,384
d32bcf1d-e6e5-4cfb-adf8-2f74bfa9b12f,4262,796
3459cbc3-b06e-4002-bcf4-642025f47500,78706,8550
141db3f7-7198-469a-b051-37f2104c55e6,3297,910
2e745f46-1695-4b62-80ed-bcaacd0d41f3,873,246
