mbid,tempo,danceability,key,key_scale,loudness,dynamic_complexity
e687bf45-bb89-4de6-8cd0-fa4dab58bdd1,101.305168152,1.04614531994,F,minor,0.541220843792,3.26649546623
4fc519cc-cc25-4963-92da-d8217fe5d5f5,111.959892273,1.50168681145,G,major,0.965002655983,3.27002811432
2cb712d0-aa34-40f8-985d-626e7d376f06,119.913574219,1.15764331818,F,major,0.518883943558,5.98981523514
917c6162-3b0a-4bb0-943c-a90824465610,131.962219238,1.33921098709,B,minor,0.964119851589,2.08703637123
8402a75d-73ca-48c9-a7fe-588a0ae03a2a,137.939788818,1.11942434311,B,major,0.890323340893,3.22016477585
6db217dd-5c6a-4127-b8e5-d19ce4f27d5f,98.0635070801,1.24401021004,A,major,0.944820284843,3.53848338127
87ed02cb-7d06-48b7-a6e1-f9cbfaf7398a,151.478469849,0.939104259014,E,major,0.212255731225,8.0165605545
801c2e3f-58c0-4e9b-9cb1-1064ee49e51f,122.066497803,1.18053555489,B,minor,0.785714924335,6.23692941666
c397a1da-6e5f-417e-8acc-2d59812b9f52,136.372665405,1.10290014744,A#,minor,0.944615662098,3.24519610405
5911cf10-49e7-40d4-8c3c-652f7c07fd96,85.9847412109,1.18617653847,F,major,0.934384465218,3.39589142799
36457105-0ff2-4870-ab95-36ff58a2ccec,165.944778442,1.27407515049,G,major,0.770185709,6.03348970413
6f334251-089a-409c-a2b9-a1268556712a,66.2344741821,1.00286400318,C,major,0.848875105381,3.25253105164
ff406f7f-e94a-44fa-ab48-6d8bd7d46da1,147.926956177,1.18817710876,F#,major,0.921186089516,3.1828327179
8692f8ff-b014-4b13-a757-3848df172601,128.183059692,1.1039981842,D,minor,0.914509534836,4.30135726929
41b4f48c-9210-42ef-b5c4-98aa9fb6c43d,117.041191101,0.970120310783,C,major,0.95607817173,2.13880968094
396d4919-a943-4fb1-a0c4-5f174bd91083,99.8124389648,1.05291390419,A#,major,0.67820417881,5.43795824051
05eb5175-bfb0-4302-8f5e-18b193e5f876,109.013114929,1.15180552006,G#,major,0.794859051704,2.91941642761
d6bb61d6-6c5e-42b6-af90-7d975a64da10,84.8920898438,0.909671068192,G,minor,0.894307076931,2.24877357483
